mechanism,C,E0,tau,k,q_n,q_B,V_B,Delta_m,V_B_over_2Dm_B,V_B_vs_cal_pct,has_metastability
A1,31.0526,2.7388,1.00,1.00,0.3351,0.2377,0.0128,2.4805,0.0050,-99.51,True
A1,31.0526,2.7388,1.50,0.00,,,,,,,False
A1,31.0526,2.7388,1.50,1.00,0.3353,0.2252,0.0256,2.3513,0.0099,-99.01,True
A1,31.0526,2.7388,2.00,0.00,,,,,,,False
A1,31.0526,2.7388,2.00,1.00,0.3354,0.2159,0.0412,2.2221,0.0159,-98.42,True
A1,31.0526,2.7388,2.50,0.00,,,,,,,False
A1,31.0526,2.7388,2.50,1.00,0.3354,0.2084,0.0591,2.0929,0.0228,-97.73,True
A1,31.0526,2.7388,3.00,0.00,,,,,,,False
A1,31.0526,2.7388,3.00,1.00,0.3355,0.2020,0.0790,1.9638,0.0305,-96.96,True
A1,31.0526,2.7388,3.50,0.00,,,,,,,False
A1,31.0526,2.7388,3.50,1.00,0.3355,0.1964,0.1008,1.8346,0.0390,-96.12,True
A1,31.0526,2.7388,4.00,0.00,,,,,,,False
A1,31.0526,2.7388,4.00,1.00,0.3355,0.1914,0.1243,1.7054,0.0480,-95.22,True
A1,31.0526,2.7388,4.50,0.00,,,,,,,False
A1,31.0526,2.7388,4.50,1.00,0.3355,0.1868,0.1494,1.5762,0.0577,-94.26,True
A1,31.0526,2.7388,5.00,0.00,,,,,,,False
A1,31.0526,2.7388,5.00,1.00,0.3355,0.1826,0.1760,1.4471,0.0680,-93.23,True
A1,33.4211,2.9477,0.50,0.00,,,,,,,False
A1,33.4211,2.9477,0.50,1.00,0.3345,0.2601,0.0033,2.8185,0.0013,-99.87,True
A1,33.4211,2.9477,1.00,0.00,,,,,,,False
A1,33.4211,2.9477,1.00,1.00,0.3351,0.2399,0.0121,2.6893,0.0047,-99.53,True
A1,33.4211,2.9477,1.50,0.00,,,,,,,False
A1,33.4211,2.9477,1.50,1.00,0.3353,0.2275,0.0244,2.5602,0.0094,-99.06,True
A1,33.4211,2.9477,2.00,0.00,,,,,,,False
A1,33.4211,2.9477,2.00,1.00,0.3354,0.2183,0.0393,2.4310,0.0152,-98.49,True
A1,33.4211,2.9477,2.50,0.00,,,,,,,False
A1,33.4211,2.9477,2.50,1.00,0.3354,0.2109,0.0565,2.3018,0.0218,-97.83,True
A1,33.4211,2.9477,3.00,0.00,,,,,,,False
A1,33.4211,2.9477,3.00,1.00,0.3355,0.2046,0.0756,2.1727,0.0292,-97.09,True
A1,33.4211,2.9477,3.50,0.00,,,,,,,False
A1,33.4211,2.9477,3.50,1.00,0.3355,0.1991,0.0966,2.0435,0.0373,-96.29,True
A1,33.4211,2.9477,4.00,0.00,,,,,,,False
A1,33.4211,2.9477,4.00,1.00,0.3355,0.1942,0.1192,1.9143,0.0461,-95.42,True
A1,33.4211,2.9477,4.50,0.00,,,,,,,False
A1,33.4211,2.9477,4.50,1.00,0.3355,0.1897,0.1433,1.7851,0.0554,-94.49,True
A1,33.4211,2.9477,5.00,0.00,,,,,,,False
A1,33.4211,2.9477,5.00,1.00,0.3355,0.1856,0.1689,1.6560,0.0653,-93.50,True
A1,35.7895,3.1566,0.50,0.00,,,,,,,False
A1,35.7895,3.1566,0.50,1.00,0.3344,0.2621,0.0031,3.0274,0.0012,-99.88,True
A1,35.7895,3.1566,1.00,0.00,,,,,,,False
A1,35.7895,3.1566,1.00,1.00,0.3350,0.2419,0.0115,2.8982,0.0045,-99.56,True
A1,35.7895,3.1566,1.50,0.00,,,,,,,False
A1,35.7895,3.1566,1.50,1.00,0.3352,0.2296,0.0233,2.7691,0.0090,-99.10,True
A1,35.7895,3.1566,2.00,0.00,,,,,,,False
A1,35.7895,3.1566,2.00,1.00,0.3353,0.2205,0.0376,2.6399,0.0145,-98.55,True
A1,35.7895,3.1566,2.50,0.00,,,,,,,False
A1,35.7895,3.1566,2.50,1.00,0.3354,0.2132,0.0542,2.5107,0.0209,-97.92,True
A1,35.7895,3.1566,3.00,0.00,,,,,,,False
A1,35.7895,3.1566,3.00,1.00,0.3354,0.2070,0.0726,2.3815,0.0281,-97.21,True
A1,35.7895,3.1566,3.50,0.00,,,,,,,False
A1,35.7895,3.1566,3.50,1.00,0.3355,0.2015,0.0928,2.2524,0.0359,-96.43,True
A1,35.7895,3.1566,4.00,0.00,,,,,,,False
A1,35.7895,3.1566,4.00,1.00,0.3355,0.1967,0.1146,2.1232,0.0443,-95.59,True
A1,35.7895,3.1566,4.50,0.00,,,,,,,False
A1,35.7895,3.1566,4.50,1.00,0.3355,0.1923,0.1379,1.9940,0.0533,-94.70,True
A1,35.7895,3.1566,5.00,0.00,,,,,,,False
A1,35.7895,3.1566,5.00,1.00,0.3355,0.1883,0.1626,1.8648,0.0629,-93.75,True
A1,38.1579,3.3655,0.50,0.00,,,,,,,False
A1,38.1579,3.3655,0.50,1.00,0.3343,0.2639,0.0029,3.2363,0.0011,-99.89,True
A1,38.1579,3.3655,1.00,0.00,,,,,,,False
A1,38.1579,3.3655,1.00,1.00,0.3350,0.2438,0.0109,3.1071,0.0042,-99.58,True
A1,38.1579,3.3655,1.50,0.00,,,,,,,False
A1,38.1579,3.3655,1.50,1.00,0.3352,0.2316,0.0223,2.9780,0.0086,-99.14,True
A1,38.1579,3.3655,2.00,0.00,,,,,,,False
A1,38.1579,3.3655,2.00,1.00,0.3353,0.2226,0.0361,2.8488,0.0140,-98.61,True
A1,38.1579,3.3655,2.50,0.00,,,,,,,False
A1,38.1579,3.3655,2.50,1.00,0.3354,0.2153,0.0520,2.7196,0.0201,-98.00,True
A1,38.1579,3.3655,3.00,0.00,,,,,,,False
A1,38.1579,3.3655,3.00,1.00,0.3354,0.2092,0.0699,2.5904,0.0270,-97.31,True
A1,38.1579,3.3655,3.50,0.00,,,,,,,False
A1,38.1579,3.3655,3.50,1.00,0.3355,0.2038,0.0894,2.4613,0.0346,-96.56,True
A1,38.1579,3.3655,4.00,0.00,,,,,,,False
A1,38.1579,3.3655,4.00,1.00,0.3355,0.1990,0.1105,2.3321,0.0427,-95.75,True
A1,38.1579,3.3655,4.50,0.00,,,,,,,False
A1,38.1579,3.3655,4.50,1.00,0.3355,0.1947,0.1330,2.2029,0.0514,-94.89,True
A1,38.1579,3.3655,5.00,0.00,,,,,,,False
A1,38.1579,3.3655,5.00,1.00,0.3355,0.1907,0.1568,2.0737,0.0606,-93.97,True
A1,40.5263,3.5744,0.50,0.00,,,,,,,False
A1,40.5263,3.5744,0.50,1.00,0.3342,0.2656,0.0027,3.4452,0.0010,-99.90,True
A1,40.5263,3.5744,1.00,0.00,,,,,,,False
A1,40.5263,3.5744,1.00,1.00,0.3350,0.2456,0.0104,3.3160,0.0040,-99.60,True
A1,40.5263,3.5744,1.50,0.00,,,,,,,False
A1,40.5263,3.5744,1.50,1.00,0.3352,0.2335,0.0213,3.1869,0.0082,-99.18,True
A1,40.5263,3.5744,2.00,0.00,,,,,,,False
A1,40.5263,3.5744,2.00,1.00,0.3353,0.2245,0.0347,3.0577,0.0134,-98.67,True
A1,40.5263,3.5744,2.50,0.00,,,,,,,False
A1,40.5263,3.5744,2.50,1.00,0.3354,0.2173,0.0501,2.9285,0.0194,-98.07,True
A1,40.5263,3.5744,3.00,0.00,,,,,,,False
A1,40.5263,3.5744,3.00,1.00,0.3354,0.2112,0.0674,2.7993,0.0260,-97.41,True
A1,40.5263,3.5744,3.50,0.00,,,,,,,False
A1,40.5263,3.5744,3.50,1.00,0.3355,0.2059,0.0862,2.6702,0.0333,-96.68,True
A1,40.5263,3.5744,4.00,0.00,,,,,,,False
A1,40.5263,3.5744,4.00,1.00,0.3355,0.2012,0.1066,2.5410,0.0412,-95.90,True
A1,40.5263,3.5744,4.50,0.00,,,,,,,False
A1,40.5263,3.5744,4.50,1.00,0.3355,0.1969,0.1285,2.4118,0.0497,-95.06,True
A1,40.5263,3.5744,5.00,0.00,,,,,,,False
A1,40.5263,3.5744,5.00,1.00,0.3355,0.1930,0.1516,2.2826,0.0586,-94.17,True
A1,42.8947,3.7833,0.50,0.00,,,,,,,False
A1,42.8947,3.7833,0.50,1.00,0.3341,0.2672,0.0025,3.6541,0.0010,-99.90,True
A1,42.8947,3.7833,1.00,0.00,,,,,,,False
A1,42.8947,3.7833,1.00,1.00,0.3349,0.2473,0.0099,3.5249,0.0038,-99.62,True
A1,42.8947,3.7833,1.50,0.00,,,,,,,False
A1,42.8947,3.7833,1.50,1.00,0.3352,0.2352,0.0205,3.3957,0.0079,-99.21,True
A1,42.8947,3.7833,2.00,0.00,,,,,,,False
A1,42.8947,3.7833,2.00,1.00,0.3353,0.2263,0.0334,3.2666,0.0129,-98.72,True
A1,42.8947,3.7833,2.50,0.00,,,,,,,False
A1,42.8947,3.7833,2.50,1.00,0.3354,0.2192,0.0483,3.1374,0.0187,-98.14,True
A1,42.8947,3.7833,3.00,0.00,,,,,,,False
A1,42.8947,3.7833,3.00,1.00,0.3354,0.2131,0.0650,3.0082,0.0251,-97.50,True
A1,42.8947,3.7833,3.50,0.00,,,,,,,False
A1,42.8947,3.7833,3.50,1.00,0.3354,0.2079,0.0834,2.8790,0.0322,-96.79,True
A1,42.8947,3.7833,4.00,0.00,,,,,,,False
A1,42.8947,3.7833,4.00,1.00,0.3355,0.2032,0.1032,2.7499,0.0399,-96.03,True
A1,42.8947,3.7833,4.50,0.00,,,,,,,False
A1,42.8947,3.7833,4.50,1.00,0.3355,0.1990,0.1243,2.6207,0.0481,-95.22,True
A1,42.8947,3.7833,5.00,0.00,,,,,,,False
A1,42.8947,3.7833,5.00,1.00,0.3355,0.1951,0.1468,2.4915,0.0567,-94.36,True
A1,45.2632,3.9922,0.50,0.00,,,,,,,False
A1,45.2632,3.9922,0.50,1.00,0.3340,0.2688,0.0024,3.8630,0.0009,-99.91,True
A1,45.2632,3.9922,1.00,0.00,,,,,,,False
A1,45.2632,3.9922,1.00,1.00,0.3349,0.2489,0.0095,3.7338,0.0037,-99.63,True
A1,45.2632,3.9922,1.50,0.00,,,,,,,False
A1,45.2632,3.9922,1.50,1.00,0.3351,0.2368,0.0197,3.6046,0.0076,-99.24,True
A1,45.2632,3.9922,2.00,0.00,,,,,,,False
A1,45.2632,3.9922,2.00,1.00,0.3353,0.2280,0.0322,3.4755,0.0124,-98.76,True
A1,45.2632,3.9922,2.50,0.00,,,,,,,False
A1,45.2632,3.9922,2.50,1.00,0.3353,0.2209,0.0467,3.3463,0.0180,-98.20,True
A1,45.2632,3.9922,3.00,0.00,,,,,,,False
A1,45.2632,3.9922,3.00,1.00,0.3354,0.2149,0.0629,3.2171,0.0243,-97.58,True
A1,45.2632,3.9922,3.50,0.00,,,,,,,False
A1,45.2632,3.9922,3.50,1.00,0.3354,0.2097,0.0807,3.0879,0.0312,-96.90,True
A1,45.2632,3.9922,4.00,0.00,,,,,,,False
A1,45.2632,3.9922,4.00,1.00,0.3355,0.2051,0.0999,2.9588,0.0386,-96.16,True
A1,45.2632,3.9922,4.50,0.00,,,,,,,False
A1,45.2632,3.9922,4.50,1.00,0.3355,0.2010,0.1205,2.8296,0.0466,-95.37,True
A1,45.2632,3.9922,5.00,0.00,,,,,,,False
A1,45.2632,3.9922,5.00,1.00,0.3355,0.1971,0.1423,2.7004,0.0550,-94.53,True
A1,47.6316,4.2011,0.50,0.00,,,,,,,False
A1,47.6316,4.2011,0.50,1.00,0.3339,0.2702,0.0022,4.0719,0.0009,-99.91,True
A1,47.6316,4.2011,1.00,0.00,,,,,,,False
A1,47.6316,4.2011,1.00,1.00,0.3348,0.2503,0.0091,3.9427,0.0035,-99.65,True
A1,47.6316,4.2011,1.50,0.00,,,,,,,False
A1,47.6316,4.2011,1.50,1.00,0.3351,0.2384,0.0189,3.8135,0.0073,-99.27,True
A1,47.6316,4.2011,2.00,0.00,,,,,,,False
A1,47.6316,4.2011,2.00,1.00,0.3352,0.2296,0.0311,3.6844,0.0120,-98.80,True
A1,47.6316,4.2011,2.50,0.00,,,,,,,False
A1,47.6316,4.2011,2.50,1.00,0.3353,0.2225,0.0451,3.5552,0.0175,-98.26,True
A1,47.6316,4.2011,3.00,0.00,,,,,,,False
A1,47.6316,4.2011,3.00,1.00,0.3354,0.2166,0.0609,3.4260,0.0236,-97.66,True
A1,47.6316,4.2011,3.50,0.00,,,,,,,False
A1,47.6316,4.2011,3.50,1.00,0.3354,0.2115,0.0782,3.2968,0.0302,-96.99,True
A1,47.6316,4.2011,4.00,0.00,,,,,,,False
A1,47.6316,4.2011,4.00,1.00,0.3354,0.2069,0.0969,3.1677,0.0375,-96.27,True
A1,47.6316,4.2011,4.50,0.00,,,,,,,False
A1,47.6316,4.2011,4.50,1.00,0.3355,0.2028,0.1169,3.0385,0.0452,-95.50,True
A1,47.6316,4.2011,5.00,0.00,,,,,,,False
A1,47.6316,4.2011,5.00,1.00,0.3355,0.1990,0.1382,2.9093,0.0534,-94.69,True
A1,50.0000,4.4100,0.50,0.00,,,,,,,False
A1,50.0000,4.4100,0.50,1.00,0.3338,0.2716,0.0021,4.2808,0.0008,-99.92,True
A1,50.0000,4.4100,1.00,0.00,,,,,,,False
A1,50.0000,4.4100,1.00,1.00,0.3348,0.2518,0.0087,4.1516,0.0034,-99.66,True
A1,50.0000,4.4100,1.50,0.00,,,,,,,False
A1,50.0000,4.4100,1.50,1.00,0.3351,0.2398,0.0182,4.0224,0.0071,-99.30,True
A1,50.0000,4.4100,2.00,0.00,,,,,,,False
A1,50.0000,4.4100,2.00,1.00,0.3352,0.2311,0.0300,3.8932,0.0116,-98.84,True
A1,50.0000,4.4100,2.50,0.00,,,,,,,False
A1,50.0000,4.4100,2.50,1.00,0.3353,0.2241,0.0437,3.7641,0.0169,-98.32,True
A1,50.0000,4.4100,3.00,0.00,,,,,,,False
A1,50.0000,4.4100,3.00,1.00,0.3354,0.2182,0.0591,3.6349,0.0228,-97.73,True
A1,50.0000,4.4100,3.50,0.00,,,,,,,False
A1,50.0000,4.4100,3.50,1.00,0.3354,0.2131,0.0759,3.5057,0.0294,-97.08,True
A1,50.0000,4.4100,4.00,0.00,,,,,,,False
A1,50.0000,4.4100,4.00,1.00,0.3354,0.2086,0.0941,3.3765,0.0364,-96.38,True
A1,50.0000,4.4100,4.50,0.00,,,,,,,False
A1,50.0000,4.4100,4.50,1.00,0.3355,0.2045,0.1136,3.2474,0.0439,-95.63,True
A1,50.0000,4.4100,5.00,0.00,,,,,,,False
A1,50.0000,4.4100,5.00,1.00,0.3355,0.2007,0.1343,3.1182,0.0519,-94.83,True
A2,5.0000,0.4410,0.50,0.00,,,,,,,False
A2,5.0000,0.4410,0.50,1.00,0.3355,0.2007,0.0134,0.3118,0.0052,-99.48,True
A2,5.0000,0.4410,1.00,0.00,,,,,,,False
A2,5.0000,0.4410,1.00,1.00,0.3356,0.1735,0.0397,0.1826,0.0153,-98.47,True
A2,5.0000,0.4410,1.50,0.00,,,,,,,False
A2,5.0000,0.4410,1.50,1.00,0.3356,0.1542,0.0743,0.0535,0.0287,-97.14,True
A2,5.0000,0.4410,2.00,0.00,,,,,,,False
A2,5.0000,0.4410,2.00,1.00,0.3356,0.1374,0.1164,-0.0757,0.0450,-95.52,True
A2,5.0000,0.4410,2.50,0.00,,,,,,,False
A2,5.0000,0.4410,2.50,1.00,0.3356,0.1208,0.1660,-0.2049,0.0642,-93.61,True
A2,5.0000,0.4410,3.00,0.00,,,,,,,False
A2,5.0000,0.4410,3.00,1.00,0.3356,0.0999,0.2246,-0.3341,0.0868,-91.36,True
A2,5.0000,0.4410,3.50,0.00,,,,,,,False
A2,5.0000,0.4410,3.50,1.00,0.3356,,,,,,False
A2,5.0000,0.4410,4.00,0.00,,,,,,,False
A2,5.0000,0.4410,4.00,1.00,0.3356,,,,,,False
A2,5.0000,0.4410,4.50,0.00,,,,,,,False
A2,5.0000,0.4410,4.50,1.00,0.3356,,,,,,False
A2,5.0000,0.4410,5.00,0.00,,,,,,,False
A2,5.0000,0.4410,5.00,1.00,0.3356,,,,,,False
A2,7.3684,0.6499,0.50,0.00,,,,,,,False
A2,7.3684,0.6499,0.50,1.00,0.3354,0.2141,0.0106,0.5207,0.0041,-99.59,True
A2,7.3684,0.6499,1.00,0.00,,,,,,,False
A2,7.3684,0.6499,1.00,1.00,0.3355,0.1894,0.0320,0.3915,0.0124,-98.77,True
A2,7.3684,0.6499,1.50,0.00,,,,,,,False
A2,7.3684,0.6499,1.50,1.00,0.3356,0.1727,0.0601,0.2624,0.0232,-97.69,True
A2,7.3684,0.6499,2.00,0.00,,,,,,,False
A2,7.3684,0.6499,2.00,1.00,0.3356,0.1593,0.0937,0.1332,0.0362,-96.39,True
A2,7.3684,0.6499,2.50,0.00,,,,,,,False
A2,7.3684,0.6499,2.50,1.00,0.3356,0.1474,0.1325,0.0040,0.0512,-94.90,True
A2,7.3684,0.6499,3.00,0.00,,,,,,,False
A2,7.3684,0.6499,3.00,1.00,0.3356,0.1363,0.1763,-0.1252,0.0682,-93.22,True
A2,7.3684,0.6499,3.50,0.00,,,,,,,False
A2,7.3684,0.6499,3.50,1.00,0.3356,0.1251,0.2253,-0.2543,0.0871,-91.34,True
A2,7.3684,0.6499,4.00,0.00,,,,,,,False
A2,7.3684,0.6499,4.00,1.00,0.3356,0.1129,0.2798,-0.3835,0.1082,-89.24,True
A2,7.3684,0.6499,4.50,0.00,,,,,,,False
A2,7.3684,0.6499,4.50,1.00,0.3356,0.0967,0.3414,-0.5127,0.1320,-86.87,True
A2,7.3684,0.6499,5.00,0.00,,,,,,,False
A2,7.3684,0.6499,5.00,1.00,0.3356,,,,,,False
A2,9.7368,0.8588,0.50,0.00,,,,,,,False
A2,9.7368,0.8588,0.50,1.00,0.3353,0.2232,0.0089,0.7296,0.0034,-99.66,True
A2,9.7368,0.8588,1.00,0.00,,,,,,,False
A2,9.7368,0.8588,1.00,1.00,0.3355,0.1998,0.0273,0.6004,0.0105,-98.95,True
A2,9.7368,0.8588,1.50,0.00,,,,,,,False
A2,9.7368,0.8588,1.50,1.00,0.3355,0.1844,0.0515,0.4713,0.0199,-98.02,True
A2,9.7368,0.8588,2.00,0.00,,,,,,,False
A2,9.7368,0.8588,2.00,1.00,0.3356,0.1723,0.0805,0.3421,0.0311,-96.90,True
A2,9.7368,0.8588,2.50,0.00,,,,,,,False
A2,9.7368,0.8588,2.50,1.00,0.3356,0.1620,0.1137,0.2129,0.0439,-95.63,True
A2,9.7368,0.8588,3.00,0.00,,,,,,,False
A2,9.7368,0.8588,3.00,1.00,0.3356,0.1527,0.1508,0.0837,0.0583,-94.20,True
A2,9.7368,0.8588,3.50,0.00,,,,,,,False
A2,9.7368,0.8588,3.50,1.00,0.3356,0.1441,0.1917,-0.0454,0.0741,-92.63,True
A2,9.7368,0.8588,4.00,0.00,,,,,,,False
A2,9.7368,0.8588,4.00,1.00,0.3356,0.1357,0.2363,-0.1746,0.0914,-90.91,True
A2,9.7368,0.8588,4.50,0.00,,,,,,,False
A2,9.7368,0.8588,4.50,1.00,0.3356,0.1272,0.2849,-0.3038,0.1101,-89.04,True
A2,9.7368,0.8588,5.00,0.00,,,,,,,False
A2,9.7368,0.8588,5.00,1.00,0.3356,0.1184,0.3376,-0.4330,0.1305,-87.02,True
A2,12.1053,1.0677,0.50,0.00,,,,,,,False
A2,12.1053,1.0677,0.50,1.00,0.3352,0.2301,0.0077,0.9385,0.0030,-99.70,True
A2,12.1053,1.0677,1.00,0.00,,,,,,,False
A2,12.1053,1.0677,1.00,1.00,0.3354,0.2075,0.0240,0.8093,0.0093,-99.08,True
A2,12.1053,1.0677,1.50,0.00,,,,,,,False
A2,12.1053,1.0677,1.50,1.00,0.3355,0.1929,0.0456,0.6801,0.0176,-98.25,True
A2,12.1053,1.0677,2.00,0.00,,,,,,,False
A2,12.1053,1.0677,2.00,1.00,0.3355,0.1816,0.0714,0.5510,0.0276,-97.25,True
A2,12.1053,1.0677,2.50,0.00,,,,,,,False
A2,12.1053,1.0677,2.50,1.00,0.3356,0.1721,0.1009,0.4218,0.0390,-96.12,True
A2,12.1053,1.0677,3.00,0.00,,,,,,,False
A2,12.1053,1.0677,3.00,1.00,0.3356,0.1637,0.1338,0.2926,0.0517,-94.85,True
A2,12.1053,1.0677,3.50,0.00,,,,,,,False
A2,12.1053,1.0677,3.50,1.00,0.3356,0.1561,0.1698,0.1634,0.0657,-93.47,True
A2,12.1053,1.0677,4.00,0.00,,,,,,,False
A2,12.1053,1.0677,4.00,1.00,0.3356,0.1489,0.2090,0.0343,0.0808,-91.96,True
A2,12.1053,1.0677,4.50,0.00,,,,,,,False
A2,12.1053,1.0677,4.50,1.00,0.3356,0.1420,0.2511,-0.0949,0.0971,-90.34,True
A2,12.1053,1.0677,5.00,0.00,,,,,,,False
A2,12.1053,1.0677,5.00,1.00,0.3356,0.1353,0.2963,-0.2241,0.1146,-88.60,True
A2,14.4737,1.2766,0.50,0.00,,,,,,,False
A2,14.4737,1.2766,0.50,1.00,0.3352,0.2356,0.0068,1.1474,0.0026,-99.74,True
A2,14.4737,1.2766,1.00,0.00,,,,,,,False
A2,14.4737,1.2766,1.00,1.00,0.3354,0.2135,0.0215,1.0182,0.0083,-99.17,True
A2,14.4737,1.2766,1.50,0.00,,,,,,,False
A2,14.4737,1.2766,1.50,1.00,0.3355,0.1995,0.0411,0.8890,0.0159,-98.42,True
A2,14.4737,1.2766,2.00,0.00,,,,,,,False
A2,14.4737,1.2766,2.00,1.00,0.3355,0.1887,0.0646,0.7599,0.0250,-97.51,True
A2,14.4737,1.2766,2.50,0.00,,,,,,,False
A2,14.4737,1.2766,2.50,1.00,0.3356,0.1797,0.0915,0.6307,0.0354,-96.48,True
A2,14.4737,1.2766,3.00,0.00,,,,,,,False
A2,14.4737,1.2766,3.00,1.00,0.3356,0.1719,0.1213,0.5015,0.0469,-95.33,True
A2,14.4737,1.2766,3.50,0.00,,,,,,,False
A2,14.4737,1.2766,3.50,1.00,0.3356,0.1649,0.1540,0.3723,0.0595,-94.08,True
A2,14.4737,1.2766,4.00,0.00,,,,,,,False
A2,14.4737,1.2766,4.00,1.00,0.3356,0.1584,0.1893,0.2432,0.0732,-92.72,True
A2,14.4737,1.2766,4.50,0.00,,,,,,,False
A2,14.4737,1.2766,4.50,1.00,0.3356,0.1523,0.2273,0.1140,0.0879,-91.26,True
A2,14.4737,1.2766,5.00,0.00,,,,,,,False
A2,14.4737,1.2766,5.00,1.00,0.3356,0.1464,0.2678,-0.0152,0.1035,-89.70,True
A2,16.8421,1.4855,0.50,0.00,,,,,,,False
A2,16.8421,1.4855,0.50,1.00,0.3351,0.2401,0.0060,1.3563,0.0023,-99.77,True
A2,16.8421,1.4855,1.00,0.00,,,,,,,False
A2,16.8421,1.4855,1.00,1.00,0.3354,0.2185,0.0196,1.2271,0.0076,-99.25,True
A2,16.8421,1.4855,1.50,0.00,,,,,,,False
A2,16.8421,1.4855,1.50,1.00,0.3355,0.2049,0.0376,1.0979,0.0146,-98.55,True
A2,16.8421,1.4855,2.00,0.00,,,,,,,False
A2,16.8421,1.4855,2.00,1.00,0.3355,0.1945,0.0593,0.9688,0.0229,-97.72,True
A2,16.8421,1.4855,2.50,0.00,,,,,,,False
A2,16.8421,1.4855,2.50,1.00,0.3355,0.1859,0.0841,0.8396,0.0325,-96.77,True
A2,16.8421,1.4855,3.00,0.00,,,,,,,False
A2,16.8421,1.4855,3.00,1.00,0.3356,0.1784,0.1116,0.7104,0.0432,-95.71,True
A2,16.8421,1.4855,3.50,0.00,,,,,,,False
A2,16.8421,1.4855,3.50,1.00,0.3356,0.1718,0.1418,0.5812,0.0548,-94.55,True
A2,16.8421,1.4855,4.00,0.00,,,,,,,False
A2,16.8421,1.4855,4.00,1.00,0.3356,0.1657,0.1743,0.4521,0.0674,-93.30,True
A2,16.8421,1.4855,4.50,0.00,,,,,,,False
A2,16.8421,1.4855,4.50,1.00,0.3356,0.1601,0.2091,0.3229,0.0808,-91.96,True
A2,16.8421,1.4855,5.00,0.00,,,,,,,False
A2,16.8421,1.4855,5.00,1.00,0.3356,0.1547,0.2462,0.1937,0.0952,-90.53,True
A2,19.2105,1.6944,0.50,0.00,,,,,,,False
A2,19.2105,1.6944,0.50,1.00,0.3350,0.2440,0.0054,1.5652,0.0021,-99.79,True
A2,19.2105,1.6944,1.00,0.00,,,,,,,False
A2,19.2105,1.6944,1.00,1.00,0.3353,0.2228,0.0180,1.4360,0.0069,-99.31,True
A2,19.2105,1.6944,1.50,0.00,,,,,,,False
A2,19.2105,1.6944,1.50,1.00,0.3354,0.2094,0.0348,1.3068,0.0134,-98.66,True
A2,19.2105,1.6944,2.00,0.00,,,,,,,False
A2,19.2105,1.6944,2.00,1.00,0.3355,0.1993,0.0550,1.1776,0.0213,-97.88,True
A2,19.2105,1.6944,2.50,0.00,,,,,,,False
A2,19.2105,1.6944,2.50,1.00,0.3355,0.1910,0.0781,1.0485,0.0302,-97.00,True
A2,19.2105,1.6944,3.00,0.00,,,,,,,False
A2,19.2105,1.6944,3.00,1.00,0.3355,0.1838,0.1038,0.9193,0.0401,-96.01,True
A2,19.2105,1.6944,3.50,0.00,,,,,,,False
A2,19.2105,1.6944,3.50,1.00,0.3356,0.1775,0.1319,0.7901,0.0510,-94.93,True
A2,19.2105,1.6944,4.00,0.00,,,,,,,False
A2,19.2105,1.6944,4.00,1.00,0.3356,0.1717,0.1622,0.6610,0.0627,-93.76,True
A2,19.2105,1.6944,4.50,0.00,,,,,,,False
A2,19.2105,1.6944,4.50,1.00,0.3356,0.1664,0.1946,0.5318,0.0752,-92.52,True
A2,19.2105,1.6944,5.00,0.00,,,,,,,False
A2,19.2105,1.6944,5.00,1.00,0.3356,0.1614,0.2290,0.4026,0.0885,-91.19,True
A2,21.5789,1.9033,0.50,0.00,,,,,,,False
A2,21.5789,1.9033,0.50,1.00,0.3349,0.2475,0.0049,1.7741,0.0019,-99.81,True
A2,21.5789,1.9033,1.00,0.00,,,,,,,False
A2,21.5789,1.9033,1.00,1.00,0.3353,0.2265,0.0166,1.6449,0.0064,-99.36,True
A2,21.5789,1.9033,1.50,0.00,,,,,,,False
A2,21.5789,1.9033,1.50,1.00,0.3354,0.2133,0.0324,1.5157,0.0125,-98.75,True
A2,21.5789,1.9033,2.00,0.00,,,,,,,False
A2,21.5789,1.9033,2.00,1.00,0.3355,0.2035,0.0514,1.3865,0.0199,-98.02,True
A2,21.5789,1.9033,2.50,0.00,,,,,,,False
A2,21.5789,1.9033,2.50,1.00,0.3355,0.1954,0.0731,1.2574,0.0283,-97.19,True
A2,21.5789,1.9033,3.00,0.00,,,,,,,False
A2,21.5789,1.9033,3.00,1.00,0.3355,0.1884,0.0973,1.1282,0.0376,-96.26,True
A2,21.5789,1.9033,3.50,0.00,,,,,,,False
A2,21.5789,1.9033,3.50,1.00,0.3355,0.1823,0.1237,0.9990,0.0478,-95.24,True
A2,21.5789,1.9033,4.00,0.00,,,,,,,False
A2,21.5789,1.9033,4.00,1.00,0.3356,0.1768,0.1522,0.8698,0.0588,-94.15,True
A2,21.5789,1.9033,4.50,0.00,,,,,,,False
A2,21.5789,1.9033,4.50,1.00,0.3356,0.1717,0.1826,0.7407,0.0706,-92.98,True
A2,21.5789,1.9033,5.00,0.00,,,,,,,False
A2,21.5789,1.9033,5.00,1.00,0.3356,0.1669,0.2149,0.6115,0.0831,-91.73,True
A2,23.9474,2.1122,0.50,0.00,,,,,,,False
A2,23.9474,2.1122,0.50,1.00,0.3348,0.2505,0.0045,1.9830,0.0018,-99.83,True
A2,23.9474,2.1122,1.00,0.00,,,,,,,False
A2,23.9474,2.1122,1.00,1.00,0.3352,0.2297,0.0155,1.8538,0.0060,-99.40,True
