Quantity,Value,Units,Tag
q_B,0.0948,fm,[Dc]
q_n,0.3732,fm,[Dc]
V_barrier,2.867,MeV,[Dc]
M(q_n),9.147,MeV,[Dc]
M(q_B),5.270,MeV,[Dc]
omega_n,3.7875,1/fm,[Dc]
omega_B,7.4119,1/fm,[Dc]
Gamma0_full,2.528e+23,Hz,[Dc]
S_over_hbar,0.01,dimensionless,[Dc]
tau_full,3.991e-24,s,[Dc]
tau_target,879,s,[BL]
