Quantity,Value,Units,Tag
B_1D/hbar,0.008945,dimensionless,[Dc]
B_2D/hbar,0.008945,dimensionless,[Dc]/[P]
B_required,60.7,dimensionless,[BL]
B_2D/B_1D,1.0000,ratio,[Dc]
a(q_n),7.02,MeV/fm^2,[Dc]/[P]
doublet_stable,True,-,[Dc]
decision,NO-GO,-,[NO-GO]
