# Mode: w_L
# Eigenvalue: 0.0001782606126567822
# Normalization: 0.9999999999999998
# Nodes: 0
# Normalizable: True
chi_GeV_inv,profile,profile_squared
-4.2640000000e+00,1.4500266525e-02,2.1025772929e-04
-4.2533400000e+00,1.4871970755e-02,2.2117551414e-04
-4.2426800000e+00,1.5252966117e-02,2.3265297536e-04
-4.2320200000e+00,1.5643490446e-02,2.4471879334e-04
-4.2213600000e+00,1.6043787514e-02,2.5740311779e-04
-4.2107000000e+00,1.6454107175e-02,2.7073764293e-04
-4.2000400000e+00,1.6874705524e-02,2.8475568652e-04
-4.1893800000e+00,1.7305845051e-02,2.9949227291e-04
-4.1787200000e+00,1.7747794805e-02,3.1498422043e-04
-4.1680600000e+00,1.8200830560e-02,3.3127023309e-04
-4.1574000000e+00,1.8665234986e-02,3.4839099710e-04
-4.1467400000e+00,1.9141297820e-02,3.6638928225e-04
-4.1360800000e+00,1.9629316046e-02,3.8531004844e-04
-4.1254200000e+00,2.0129594077e-02,4.0520055771e-04
-4.1147600000e+00,2.0642443944e-02,4.2611049197e-04
-4.1041000000e+00,2.1168185483e-02,4.4809207666e-04
-4.0934400000e+00,2.1707146537e-02,4.7120021079e-04
-4.0827800000e+00,2.2259663152e-02,4.9549260362e-04
-4.0721200000e+00,2.2826079783e-02,5.2102991824e-04
-4.0614600000e+00,2.3406749507e-02,5.4787592247e-04
-4.0508000000e+00,2.4002034237e-02,5.7609764750e-04
-4.0401400000e+00,2.4612304942e-02,6.0576555456e-04
-4.0294800000e+00,2.5237941875e-02,6.3695371007e-04
-4.0188200000e+00,2.5879334800e-02,6.6973996969e-04
-4.0081600000e+00,2.6536883234e-02,7.0420617175e-04
-3.9975000000e+00,2.7210996684e-02,7.4043834051e-04
-3.9868400000e+00,2.7902094898e-02,7.7852689970e-04
-3.9761800000e+00,2.8610608119e-02,8.1856689696e-04
-3.9655200000e+00,2.9336977342e-02,8.6065823957e-04
-3.9548600000e+00,3.0081654580e-02,9.0490594229e-04
-3.9442000000e+00,3.0845103138e-02,9.5142038757e-04
-3.9335400000e+00,3.1627797886e-02,1.0003175991e-03
-3.9228800000e+00,3.2430225548e-02,1.0517195291e-03
-3.9122200000e+00,3.3252884991e-02,1.1057543603e-03
-3.9015600000e+00,3.4096287520e-02,1.1625568226e-03
-3.8909000000e+00,3.4960957182e-02,1.2222685271e-03
-3.8802400000e+00,3.5847431080e-02,1.2850383150e-03
-3.8695800000e+00,3.6756259684e-02,1.3510226260e-03
-3.8589200000e+00,3.7688007162e-02,1.4203858838e-03
-3.8482600000e+00,3.8643251705e-02,1.4933009023e-03
-3.8376000000e+00,3.9622585867e-02,1.5699493108e-03
-3.8269400000e+00,4.0626616915e-02,1.6505220020e-03
-3.8162800000e+00,4.1655967174e-02,1.7352196012e-03
-3.8056200000e+00,4.2711274391e-02,1.8242529601e-03
-3.7949600000e+00,4.3793192103e-02,1.9178436746e-03
-3.7843000000e+00,4.4902390009e-02,2.0162246286e-03
-3.7736400000e+00,4.6039554357e-02,2.1196405654e-03
-3.7629800000e+00,4.7205388326e-02,2.2283486870e-03
-3.7523200000e+00,4.8400612430e-02,2.3426192836e-03
-3.7416600000e+00,4.9625964923e-02,2.4627363945e-03
-3.7310000000e+00,5.0882202204e-02,2.5889985012e-03
-3.7203400000e+00,5.2170099247e-02,2.7217192555e-03
-3.7096800000e+00,5.3490450021e-02,2.8612282434e-03
-3.6990200000e+00,5.4844067927e-02,3.0078717868e-03
-3.6883600000e+00,5.6231786242e-02,3.1620137840e-03
-3.6777000000e+00,5.7654458569e-02,3.3240365928e-03
-3.6670400000e+00,5.9112959288e-02,3.4943419558e-03
-3.6563800000e+00,6.0608184028e-02,3.6733519712e-03
-3.6457200000e+00,6.2141050133e-02,3.8615101117e-03
-3.6350600000e+00,6.3712497141e-02,4.0592822920e-03
-3.6244000000e+00,6.5323487267e-02,4.2671579887e-03
-3.6137400000e+00,6.6975005893e-02,4.4856514144e-03
-3.6030800000e+00,6.8668062066e-02,4.7153027479e-03
-3.5924200000e+00,7.0403688999e-02,4.9566794247e-03
-3.5817600000e+00,7.2182944575e-02,5.2103774876e-03
-3.5711000000e+00,7.4006911863e-02,5.4770230034e-03
-3.5604400000e+00,7.5876699628e-02,5.7572735465e-03
-3.5497800000e+00,7.7793442858e-02,6.0518197517e-03
-3.5391200000e+00,7.9758303277e-02,6.3613869417e-03
-3.5284600000e+00,8.1772469879e-02,6.6867368301e-03
-3.5178000000e+00,8.3837159445e-02,7.0286693038e-03
-3.5071400000e+00,8.5953617079e-02,7.3880242889e-03
-3.4964800000e+00,8.8123116726e-02,7.7656837016e-03
-3.4858200000e+00,9.0346961705e-02,8.1625734893e-03
-3.4751600000e+00,9.2626485225e-02,8.5796657652e-03
-3.4645000000e+00,9.4963050911e-02,9.0179810382e-03
-3.4538400000e+00,9.7358053311e-02,9.4785905444e-03
-3.4431800000e+00,9.9812918410e-02,9.9626186815e-03
-3.4325200000e+00,1.0232910413e-01,1.0471245551e-02
-3.4218600000e+00,1.0490810080e-01,1.1005709614e-02
-3.4112000000e+00,1.0755143168e-01,1.1567310457e-02
-3.4005400000e+00,1.1026065337e-01,1.2157411682e-02
-3.3898800000e+00,1.1303735629e-01,1.2777443918e-02
-3.3792200000e+00,1.1588316511e-01,1.3428907955e-02
-3.3685600000e+00,1.1879973912e-01,1.4113378015e-02
-3.3579000000e+00,1.2178877268e-01,1.4832505150e-02
-3.3472400000e+00,1.2485199550e-01,1.5588020780e-02
-3.3365800000e+00,1.2799117302e-01,1.6381740372e-02
-3.3259200000e+00,1.3120810668e-01,1.7215567258e-02
-3.3152600000e+00,1.3450463414e-01,1.8091496606e-02
-3.3046000000e+00,1.3788262956e-01,1.9011619534e-02
-3.2939400000e+00,1.4134400367e-01,1.9978127373e-02
-3.2832800000e+00,1.4489070395e-01,2.0993316090e-02
-3.2726200000e+00,1.4852471463e-01,2.2059590855e-02
-3.2619600000e+00,1.5224805670e-01,2.3179470767e-02
-3.2513000000e+00,1.5606278780e-01,2.4355593737e-02
-3.2406400000e+00,1.5997100210e-01,2.5590721514e-02
-3.2299800000e+00,1.6397482999e-01,2.6887744870e-02
-3.2193200000e+00,1.6807643777e-01,2.8249688934e-02
-3.2086600000e+00,1.7227802721e-01,2.9679718661e-02
-3.1980000000e+00,1.7658183500e-01,3.1181144453e-02
-3.1873400000e+00,1.8099013205e-01,3.2757427901e-02
-3.1766800000e+00,1.8550522273e-01,3.4412187661e-02
-3.1660200000e+00,1.9012944389e-01,3.6149205433e-02
-3.1553600000e+00,1.9486516378e-01,3.7972432054e-02
-3.1447000000e+00,1.9971478080e-01,3.9885993669e-02
-3.1340400000e+00,2.0468072204e-01,4.1894197977e-02
-3.1233800000e+00,2.0976544169e-01,4.4001540529e-02
-3.1127200000e+00,2.1497141915e-01,4.6212711052e-02
-3.1020600000e+00,2.2030115700e-01,4.8532599777e-02
-3.0914000000e+00,2.2575717871e-01,5.0966303738e-02
-3.0807400000e+00,2.3134202604e-01,5.3519133013e-02
-3.0700800000e+00,2.3705825626e-01,5.6196616860e-02
