# V1 Cross-Method Verification
# Generated: 2026-01-24T09:45:46.198380
# Status: PASS
potential,n,lambda_fd,lambda_shooting,relative_diff,tolerance,status
Pöschl-Teller (V0=20.0),0,-16.0000000000,-16.0000000000,5.5511151231e-16,1.0000000000e-04,PASS
Pöschl-Teller (V0=20.0),1,-4.0000000000,-4.0000000000,2.2204460493e-16,1.0000000000e-04,PASS
